Date,Lend APY
19-Jun-24,2.46%
20-Jun-24,4.91%
21-Jun-24,12.09%
22-Jun-24,12.26%
23-Jun-24,11.51%
24-Jun-24,17.76%
25-Jun-24,14.03%
26-Jun-24,23.10%
27-Jun-24,17.23%
28-Jun-24,18.38%
29-Jun-24,15.24%
30-Jun-24,10.65%
1-Jul-24,10.50%
2-Jul-24,10.49%
3-Jul-24,9.55%
4-Jul-24,15.41%
5-Jul-24,9.66%
6-Jul-24,9.84%
7-Jul-24,12.92%
8-Jul-24,10.95%
9-Jul-24,9.27%
10-Jul-24,11.05%
11-Jul-24,24.02%
12-Jul-24,8.29%
13-Jul-24,19.55%
14-Jul-24,22.52%
15-Jul-24,9.44%
16-Jul-24,6.33%
17-Jul-24,6.90%
18-Jul-24,28.79%
19-Jul-24,6.81%
20-Jul-24,3.50%
21-Jul-24,5.26%
22-Jul-24,4.51%
23-Jul-24,4.77%
24-Jul-24,10.88%
25-Jul-24,13.64%
26-Jul-24,22.23%
27-Jul-24,11.42%
28-Jul-24,19.35%
29-Jul-24,11.53%
30-Jul-24,14.40%
31-Jul-24,18.25%
1-Aug-24,24.22%
2-Aug-24,16.81%
3-Aug-24,14.55%
4-Aug-24,12.54%
5-Aug-24,12.48%
6-Aug-24,12.99%
7-Aug-24,10.15%
8-Aug-24,11.96%
9-Aug-24,17.85%
10-Aug-24,15.69%
11-Aug-24,12.90%
12-Aug-24,11.39%
13-Aug-24,12.96%
14-Aug-24,15.71%
15-Aug-24,15.22%
16-Aug-24,13.83%
17-Aug-24,10.96%
18-Aug-24,8.71%
19-Aug-24,8.30%
20-Aug-24,6.66%
21-Aug-24,6.52%
22-Aug-24,6.27%
23-Aug-24,6.22%
24-Aug-24,9.22%
25-Aug-24,45.25%
26-Aug-24,9.31%
27-Aug-24,7.46%
28-Aug-24,7.95%
29-Aug-24,7.65%
30-Aug-24,7.87%
31-Aug-24,7.94%
1-Sep-24,7.90%
2-Sep-24,7.93%
3-Sep-24,7.69%
4-Sep-24,7.76%
5-Sep-24,7.65%
6-Sep-24,7.98%
7-Sep-24,8.03%
8-Sep-24,8.01%
9-Sep-24,8.19%
10-Sep-24,8.33%
11-Sep-24,8.61%
12-Sep-24,11.24%
13-Sep-24,10.60%
14-Sep-24,7.10%
15-Sep-24,7.09%
16-Sep-24,7.43%
17-Sep-24,8.00%
18-Sep-24,8.04%
19-Sep-24,9.31%
20-Sep-24,10.88%
21-Sep-24,10.88%
22-Sep-24,10.87%
23-Sep-24,10.71%
24-Sep-24,10.83%
25-Sep-24,11.24%
26-Sep-24,11.04%
27-Sep-24,10.94%
28-Sep-24,7.95%
29-Sep-24,8.76%
30-Sep-24,11.48%
1-Oct-24,9.66%
2-Oct-24,18.79%
3-Oct-24,19.12%
4-Oct-24,15.71%
5-Oct-24,15.23%
6-Oct-24,13.03%
7-Oct-24,12.33%
8-Oct-24,11.68%
9-Oct-24,11.52%
10-Oct-24,12.00%
11-Oct-24,12.92%
